Item_ID,Division_ID,Cluster_ID,Division_Scaling_Factor,Cluster_Scaling_Factor
1267746,US-RTL,1,0.04391689007132528,0.12127063921152345
1267261,US-RTL,3,0.02441938559291327,0.05458117341632315
1267504,US-RTL,2,0.01877689154265176,0.09273937128688192
1267319,US-RTL,1,0.01704160933911566,0.04705813308709222
1269603,US-RTL,1,0.016829899490758585,0.04647352455502313
1269685,CA-RTL,1,0.05264552726988454,0.01684098138172261
1267128,US-FS,2,0.044613329021615175,0.029262939309463103
1269461,CA-RTL,1,0.04541200024510402,0.014527020438297846
1269810,CA-RTL,0,0.04099940752122013,0.018516309214264396
1267908,US-FS,3,0.03264347856319644,0.009689858457041204
1270707,CA-RTL,3,0.036945217788552365,0.009566392470693255
1267133,US-FS,2,0.0296591037760892,0.01945410873401226
1270349,US-FS,3,0.02400218861310404,0.007124786344994549
1268762,CA-RTL,0,0.027379330568574844,0.012365157975146418
1267375,US-FS,0,0.023275760754142595,0.012050685891532383
1269903,CA-FS,2,0.043472193304279774,0.004265086028487637
1270709,CA-FS,1,0.03334443184021022,0.0018290400019503326
1269265,CA-FS,2,0.027827785874801662,0.0027302027276980647
1269987,CA-FS,3,0.026537247905343796,0.0011782564090094228
1269237,CA-FS,2,0.02372014172583876,0.0023271990065120924
